"CAS","SMILES","route","a_2u_nephropathy","abdominal_cavity","adipose_tissue","adrenal_gland","bladder","body_weight","bone","bone_marrow","brain","clinical_chemistry","CNS","endocrine_system","female_reproductive_organ","gall_bladder_bile_duct","haematopoiesis","Harderian_gland","heart","immune_system","intestine","kidney","liver","lymph_node","male_accessory_gland","male_reproductive_organ","mammary_gland","pancreas","pituitary_gland_hypohysis","RBC","salivary_gland","skeletal_muscle","skin_subcutaneous_tissue","spinal_cord","spleen","thymus","thyroid_gland","trachea","urinary_tract","urine_analysis","vascular_system","WBC"
123773,"C(N)(=O)N=NC(N)=O","oral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5368711234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123911,"C1COCCO1","oral",0,0,0,0,0,86.2558165929,0,0,17.0241743275,37.4531835206,0,0,0,0,0,0,0,0,0,17.0241743275,17.0241743275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0241743275,0,37.4531835206,0,0
125122,"C1(C)(C)C2(C)C(OC(C)=O)CC1CC2","oral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3755158184,1.3755158184,1.3755158184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4585052728,0,0
126716,"C(C)(C)COP(=O)(OCC(C)C)OCC(C)C","oral",0,0,0,0,0,0,0,0,0,1.367152298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256833884,0,0,0,0,0,0,0,0,0,0,0,0.256833884
126738,"C(CCC)OP(=O)(OCCCC)OCCCC","oral",0,0,0,0,0.2816161009,1.4080805047,0,0,0,1.4080805047,0,0,0,0,0,0,0,0,0,0,0.2816161009,0,0,0,0,0,0,1.4080805047,0,0,0,0,0,0,0,0,0,0,0,0
126987,"C(#N)C(=C)C","oral",0,0,0,0,0,0.8943210613,0,0,0,0.1117901327,0.1117901327,0.8943210613,0,0,0,0,0.2235802653,0,0,0.8943210613,0.1117901327,0,0,0.8943210613,0,0,0,0.8943210613,0,0,0,0,0,0.8943210613,0,0,0,0,0,0.8943210613
127184,"C(Cl)(Cl)=C(Cl)Cl","oral",0,0,0,0,0,2.4121087861,0,0,0,2.4121087861,0,0,0,0,0,0,0,0,0,2.4121087861,8.4423807514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129793,"c12C(=O)c3c(c(N(=O)=O)cc(N(=O)=O)c3)-c1ccc(N(=O)=O)c2","oral",0,0,0,0.9945839358,0,0.2486459839,1.9891678715,0,0.2486459839,0.9945839358,0,0,3.9783357431,0,0.2486459839,0,1.9891678715,0,0.4972919679,0.2486459839,0.2486459839,1.9891678715,3.9783357431,0.2486459839,0,0,1.9891678715,0.9945839358,0,1.9891678715,0.2486459839,0,0.2486459839,0.2486459839,0.2486459839,0,0,0.2486459839,0.4972919679,0
131179,"C(=O)(c1c(C(=O)OCC=C)cccc1)OCC=C","oral",0,0,0,0,0,1.6242335648,0,0,0,0,0,0,0,0,0,0,0,0,1.6242335648,1.6242335648,0.2030291956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135886,"c12c(cc(Nc3ccccc3)cc1)cccc2","oral",3.5741159311,0,0,0,0,1.7870579656,0,7.1482318623,0,0,0,0,0,0,0,0,0,0,0,3.5741159311,1.7870579656,0,0,14.2964637246,0,0,0,0,0,0,0,0,14.2964637246,14.2964637246,0,0,0,0,0,0
136776,"c1(CCCCCC)c(O)cc(O)cc1","oral",0,0,0,0,0,1.2868687909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140114,"c1(COC(C)=O)ccccc1","oral",0,0,0,0,0,13.0465465006,0,0,26.0930930012,6.5232732503,13.0465465006,0,0,0,0,0,0,0,0,26.0930930012,13.0465465006,0,0,6.5232732503,0,0,0,0,0,26.0930930012,0,0,0,0,0,0,0,0,0,0
140885,"C(=O)(C=C)OCC","oral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986815821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142836,"C(=O)C=CC=CC","oral",0,0,0,0,0,0.3120773952,0,0,0,0.0780193488,0,0,0,0,0,0,1.2483095808,0,0,1.2483095808,1.2483095808,0,0,0.6241547904,0,0,0,1.2483095808,0,0,0,0,1.2483095808,0,0,0,0,0,0,0
151213,"C(CCCCCCCCCCC)OS(=O)(=O)O{-}.[Na]{+}","oral",0,0,0,0,0,0,0,0,0,1.516551483,0,0,0,0,0,0,0,0,0,1.516551483,0.7582757415,0,0,6.0932872084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156605,"C(Cl)=CCl","oral",0,0,0,0,0,40.4193987305,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9654461062,5.0524248413,0,0,0,0,0,0,2.5262124206,0,0,0,0,0,0,0,0,0,0,0,0
271896,"c12c(C=CO1)cccc2","oral",2.116133401,0,0,0,0,1.0580667005,0,0,0,0,0.2624005417,0,0,0,0,0,0,0,0,2.116133401,1.0580667005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288324,"C1=CN=CN1","oral",2.6439482961,0,0,0,0,0,0,0,0,2.6439482961,0,0,0,0,0,0,0,0,0,2.6439482961,2.6439482961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6439482961,0,0
333415,"c1(C(C)C)nc(OP(=S)(OCC)OCC)cc(C)n1","oral",0,0,0,0,0,0.5519960572,0,0,0,0.0009857072,0.5519960572,0,0,0,0,0,0,0,0,0.5519960572,0.0492853622,0,0,0,0,0,0,0.5519960572,0,0,0,0,0,0,0,0,0,0,0,0.5519960572
446720,"c1(C2C(=O)c3c(O)cc(O)cc3OC=2)ccc(O)cc1","oral",0,0,0,1.8502072232,0,1.8502072232,0,0,0,1.8502072232,0,0,1.8502072232,0,0,0,1.8502072232,0,0,1.8502072232,1.8502072232,0,0,1.8502072232,0,0,0,1.8502072232,0,0,0,0,0,0,1.8502072232,0,0,0,0,0
479458,"c1(N(=O)=O)c(N(C)N(=O)=O)c(N(=O)=O)cc(N(=O)=O)c1","oral",0,0,0,0,0,0.2729347524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2729347524,0.2729347524,0,0,0,0,0,0,0.2729347524,0,0,0,0,0.2729347524,0,0,0,0,0,0,0
505602,"C(Cl)CSCCCl","oral",0,0,0,0,0,0.0018859622,0,0,0,0.0018859622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534521,"c1(N(=O)=O)c(O)c(C)cc(N(=O)=O)c1","oral",0,0,0,0,0,0.0252346825,0,0,0,0.0126173413,0,0.0126173413,0.1009387302,0,0,0,0,0,0,0,0,0,0,0.1009387302,0,0,0,0,0,0,0.1009387302,0,0,0.1009387302,0.0126173413,0,0,0,0,0
541731,"c1(Cl)cc(Cl)ccc1","oral",0,0,0,0,0,4,0,0,0,0.0612244898,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,4,0,0,0,0,0,0,0.0612244898,0,0,0,0,4
552307,"C1(=O)c2c(C(=O)O1)cc(C(=O)O)cc2","oral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4079176294
556525,"C1(CO)CO1","oral",0,0,0,0,0,0.6749460043,0,0,2.6997840173,0,0,0,0,0,0,0,0,0,0,5.3995680346,0,0,0,0.3374730022,0,0,0,0,0,0,0,0,0,5.3995680346,0,0,0,0,0,0
563473,"C(=C)(C)CCl","oral",0,0,0,0,0,2.2087244616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3130866924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591877,"C(C)(=O)OCC=C","oral",0,0.9988014383,0,0,0,0.0599280863,0,0.9988014383,0,0.0599280863,0.9988014383,0,0,0,0.2497003596,0,0,0,0.9988014383,0.4994007191,0.2497003596,0.9988014383,0,0,0,0,0,0.2497003596,0,0,0,0,0.9988014383,0.9988014383,0,0,0,0,0,0.2497003596
599791,"C(=O)(O)c1c(O)ccc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)c1","oral",0,0,0,0,0,0.2108486659,0,0,0,0,0,0.8471598183,0,0,0,0,0,0,0,0.8471598183,0,0,0,0.2108486659,0,0,0.8471598183,0,0,0,0,0,0,0,0.4237054143,0,0,0,0,0
606202,"c1(N(=O)=O)c(C)c(N(=O)=O)ccc1","oral",0,0,0,0,0,0.192159877,0,0,0,0.192159877,0,0,0,0,0.192159877,0,0,0,0,0,0.192159877,0,0,0.192159877,0,0,0,0.192159877,0,0,0,0,0,0,0,0,0,0,0,0
630206,"C(Cl)(Cl)(Cl)CCl","oral",0,0,0,0,0,2.9788501638,0,0,0,0,0.5957700328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631641,"C(=O)(O)C(Br)Br","oral",0,0,0,0,0,0.7619572202,0,0,0,0.0459010374,0,0,0,0,0.4268796475,0,0.7619572202,0,0,0.1836041495,0.0459010374,0,0,0.1836041495,0,0,0.7619572202,0.4268796475,0,0,0,0,0,0.4268796475,0,0,0,0,0,0.4268796475
693981,"C1(C)=NC=CN1","oral",0,0,0,6.8209500609,0,1.9488428745,0,0,0,0.4872107186,0,3.6540803898,6.8209500609,0,0,0,3.6540803898,0,0,0.4872107186,0,0,0,0.4872107186,0,0,0,1.9488428745,0,0,0,0,0.4872107186,6.8209500609,0.9744214373,0,0,0,0,0
822366,"C1(C)=CNC=N1","oral",0,0,0,0,0,1.9486055292,0,0,0,1.9486055292,3.6536353672,3.6536353672,6.8201193521,0,0,0,0,0,0,3.6536353672,1.9486055292,0,6.8201193521,0.9743027646,0,0,0,0.4871513823,0,0,0,0,1.9486055292,0,6.8201193521,0,0,0,0,0
836306,"c1(Nc2ccccc2)ccc(N(=O)=O)cc1","oral",0,0,0,0,0,1.1669700789,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1669700789,0,0,0,0,0,0,0,0.4667880316,0,0,0,0,0,0,0,0,0,0,0,0
868859,"COP(=O)OC","oral",0,0,0,0,3.6347114948,1.8173557474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
947046,"C1(=O)CCCCCCCCCCCN1","oral",0,0,0,0,0,0,0,0,0,0.6334887492,0,0,0,0,0,0,0,0,0,0,0.1266977498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6334887492,0,0
1241947,"c1(OP(=O)(Oc2ccccc2)OCC(CCCC)CC)ccccc1","oral",0,0,0,1.3516351776,0,1.3516351776,0,0,0,1.3516351776,0,0,1.3516351776,0,0,0,0,0,0,0,1.3516351776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300727,"c1(C)c(C)cc(S(=O)(=O)O{-}.[Na]{+})cc1","oral",0,0,0,0,0,3.7327343115,0,0,0,0.6691201071,0,0,0,0,0,0,0,0,0,0,18.1618314773,0,0,0,0,0,0,18.1618314773,0,0,0,0,21.029489079,0,0,0,0,21.029489079,0,0
1338392,"C(=O)(CCCCCCCCCCC)OCC(O)C1C(O)C(O)CO1","oral",0,0,0,5.6552859016,0,5.6552859016,0,0,5.6552859016,0,0,0,0,0,0,0,22.6211436063,0,11.3105718032,5.6552859016,11.3105718032,0,0,22.6211436063,0,0,22.6211436063,5.6552859016,0,0,0,0,0,0,0,0,0,5.6552859016,0,5.6552859016
1506021,"C1(C)(C)c2c(C(C)(C)C(C)C1)cc(C)c(C(C)=O)c2","oral",0,0,0,0,0,0,0,0,0,0.193490964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193490964,0,0,0,0,0,0,0,0,0,0,0,0
1634044,"C(C)(C)(C)OC","oral",0,0,0,0,0,0,0,0,0,1.134429949,0,0,0,0,0,0,0,0,0,3.4032898469,10.2098695406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1847581,"C(=O)(CS(=O)(=O)O{-}.[Na]{+})OCCCCCCCCCCCC","oral",0,0,0,0,0,0.7575757576,0,0,0,0.2272727273,0.7575757576,0,0,0,0,0,0,0,0,0,2.2727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2727272727,0,2.2727272727
1854268,"C1(=O)N(CO)C(O)C(O)N1CO","oral",0,0,0,0,0,16.835016835,0,0,0,0,0,0,0,0,0,0,33.67003367,0,0,0,0,0,0,33.67003367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1897456,"C(#N)c1c(Cl)c(C#N)c(Cl)c(Cl)c1Cl","oral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112820127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2432997,"C(=O)(O)CCCCCCCCCCN","oral",0,0,0,0,0,7.0076889101,0,0,0,0,0,0,0,0,0,0,0,0,0,3.503844455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2835394,"C(=O)(CC(C)C)OCC=C","oral",0,0,0,1.7580872011,1.7580872011,0.8790436006,0,0,0,0,1.7580872011,0,0,0,0,0,0,0,1.7580872011,0,0.2180028129,1.7580872011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2855132,"C1(C)(C)CC(C)(CN)CC(N)C1","oral",0,0,0,0,0,0.9395184968,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9395184968,0.3523194363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3523194363
3207123,"C(C)(C)(N)CO_Cl","oral",0,0,0,0,0,0,0,0,0,0.0151273885,0,0,0,0,0,0,0,0,0,1.5127388535,1.5127388535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3926623,"C(=O)(CCl)O{-}.[Na]{+}","oral",0,0,0,0,0,0,0,0,0,0.1287774725,0,0,0,0,0,0,0,0,0,0.1287774725,0.5151098901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4180238,"c1(C=CC)ccc(OC)cc1","oral",0,0,0,1.0120774577,0,2.0241549153,0,0,1.0120774577,2.0241549153,0,0,1.0120774577,0,0,0,1.0120774577,0,0,1.0120774577,1.0120774577,0,1.0120774577,1.0120774577,0,0,1.0120774577,6.072464746,0,0,0,0,1.0120774577,1.0120774577,1.0120774577,0,0,0,0,0
5216251,"C(Cl)(Cl)(Cl)c1ccc(Cl)cc1","oral",0,0,0,0,0,0.0543667363,0,0,0,0,0.0543667363,0,0,0,0,0,0,0,0,0,0.1087334725,0,0,0.0543667363,0,0,0,0.0543667363,0,0,0,0,0,0,0,0,0,0,0,0.0543667363
5407045,"C(Cl)CCN(C)C_Cl","oral",0,0,0,0,0,0.3162555345,0,0,0,0.3162555345,0.3162555345,0,0,0,0,0,0,0,0,0,0,0,0,0.3162555345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5989275,"C(=C)(C)C1CC=C(C)CC1","oral",1.1009982384,0,0,0,0,4.4039929536,0,0,0,0,8.8079859072,0,0,0,0,0,0,0,0,1.1009982384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6864375,"C1(N)C(C)CC(CC2CC(C)C(N)CC2)CC1","oral",0,0,0,0.050331348,0,0.050331348,0,0,0,0.050331348,0,0,0,0,0,0,0.050331348,0,0,0.050331348,0.050331348,0,0.2516567402,0.2516567402,0,0,0,0.2516567402,0,0,0,0,0,0,0,0,0,0,0,0.2516567402
7585399,"C1(O)C(O)C(O)C(OC2C(O)C(O)C(OC3C(O)C(O)C(OC4C(O)C(O)C(OC5C(O)C(O)C(OC6C(O)C(O)C(OC7C(O)C(O)CC(CO)O7)C(CO)O6)C(CO)O5)C(CO)O4)C(CO)O3)C(CO)O2)C(CO)O1","oral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8929827738,0.8616228467,0,6.8929827738,6.8929827738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10016203,"C12C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)O2","oral",0,0,0,0,0,10.2880658436,0,0,0,10.2880658436,0,0,0,0,0,0,0,0,2.5720164609,0,10.2880658436,0,0,0,0,0,0,0,0,0,0,0,10.2880658436,0,0,0,0,10.2880658436,0,10.2880658436
14371109,"c1(C=CC=O)ccccc1","oral",0,0,0,0,0,2.431372412,0,0,0,2.431372412,0,0,0,0,0,0,4.8627448239,0,0,4.8627448239,0,0,0,9.784791414,0,0,0,2.431372412,0,0,0,0,0,0,0,0,0,0,0,2.431372412
17465860,"C12C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)OC1C(O)C(O)C(C(CO)O1)O2","oral",0,0,0,7.7093869495,0,7.7093869495,0,0,0,7.7093869495,0,0,0,0,0,0,0,0,1.9273467374,0,7.7093869495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7093869495,0,0
17924924,"C1(=O)c2c(C={t}CCCCC(=O)CCCC{P+}(C)O1)cc(O)cc2O","oral",0,0,0,0,0,0.0246177956,0.0073853387,0,0,0,0,0,0.0738533869,0,0,0,0,0,0,0,0,0,0.0246177956,0.0738533869,0.7385338686,0,0.2461779562,0,0,0,0,0,0,0,0,0,0,0,0,0
23696288,"C(=O)(c1c(C)n(=O)c2c(cccc2)n1=O)NCCO","oral",0,0,0,0.0189926309,0,0,0,0,0,0,0,0,0.0189926309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25154523,"c1(O)ccc(CCCCCCCCC)cc1","oral",0,0,0,0,0,0.6353240152,0,0,0,0.6353240152,0,0,0,0,0,0,0,0,0,0.6353240152,0.6353240152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26628228,"N{-}=N{+}=N{-}.[Na]{+}","oral",0,0,0,0,0,0.1537988311,0,0,0.3075976623,0,0.3075976623,0,0,0,0,0,0,0,0,0,0.0192248539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29232937,"c1(OP(=S)(OC)OC)cc(C)nc(N(CC)CC)n1","oral",0,0,0,0,0,0.0205346908,0,0,0.0205346908,0.0205346908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29911271,"C(C)(O)COC(C)COCCC","oral",0,0,0,0,0,0,0,0,0,2.8367184841,0,0,0,0,0,0,0,0,0,0,2.8367184841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8367184841,0,0
39156417,"c1(OC)c(N{+}.O{-}S(=O)(=O)O{-})cc(N{+})cc1","oral",0,0,0,0,0,0.0973586184,0,0,0,0,0,0,0,0,0.0973586184,0,0,0,0,0.0973586184,0.0973586184,0,0,0,0,0,0,0.0973586184,0,0,0,0,0.0973586184,0,0,0,0,0,0,0.0973586184
55406536,"C(I)#CCOC(=O)NCCCC","oral",0,0,0,0,0,0.4446974279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4446974279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
